catalog_id,artist,title,price,quantity
AP14036,Soulja Slim,Soulja Mentality,15.00,
AP122020,SOUTH PARK MEXICAN,LAST CHAIR VIOLINIST (2CD),21.00,6
AP123510,SOUTH PARK MEXICAN,WHEN DEVILS STRIKE (2CD),21.00,5
AP12202,SPANKY LOCO,SUPERIOR ALBUM,15.00,3
AP12207,SPANKY LOCO,TIRANDO Y RIFANDO 2,15.00,4
AP14102,Stevie Joe,Live On The Wire,20.00,
AP12048,STOMPER,NEW TESTAMENT,15.00,7
AP12203,STOMPER,ONCE UPON A TIME IN AMERICA,15.00,8
AP12059,STOMPER,ONCE UPON A TIME IN AMERICA 2,15.00,9
AP12231,STOMPER & SPANKY LOCO,EVERYBODY KILLA,15.00,10
AP12042,"SURENO,ESTILO",BLUE RAGGIN SURENOS,15.00,6
AP12044,TEEN ANGELS,SURENO STYLE,14.00,3
AP12340,THA DOGG POUND,100 WAYS,20.00,6
AP12217,THA DOGG POUND,THAT WAS THEN THIS IS NOW,16.00,9
AP12004,The Dragons & The Gorilla Pits,The Monstasquad,12.00,19
AP12003,The Gorilla Pits,The Street Album,12.00,24
AP14057,The Hustlers Club,Connected Inc,18.00,11
AP14011,The Regime ,The Last Dragon The Album,18.00,4
AP14000,Various Artists, Cage Vs Cons Soundtrack,15.00,
AP12014,YG Hootie,Prince Of The Bity,15.00,Temporarily Discontinued
AP12013,YG Hootie,Red Zepplin,15.00,84
AP40022,YG Hootie,Fonk Love,15.00,33
AP12192,Young Reef,Red October,15.75,12
AP14023,Young Twin,Fields Most Hated,15.00,
AP14023,Young Twin,Fields Most Hated,15.00,
